Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016]
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,25,38.2,..
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.2,12.4,..
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.5031334814656,93.4783011354165,..
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,6,6.787702956098,..
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.5,27.5,..
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.4,11.387646166247,..
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.38,4.86622446359511,..
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.26,43.019626357101,..
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.2148722257524,20.6801476606263,..
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.03,4.563264351542,..
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.5,2.70000000055,..
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.98,7.459161385649,..
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,3,3.799999507273,..
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.11,7.61597466209,..
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.6,21,..
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.71,11.9224314345,..
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,33.8946039115275,37.8193834276939,..
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.86,21.319999985207,..
Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.99,1.083733115675,..
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.7,11.6,..
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,20,23.5,..
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.5,17.119820502123,..
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.9,23.478128435343,..
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.72,4.7,..
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.32,3.540706917021,..
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.35,45.3349758846986,..
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.21,17.22,..
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.0177531628076,77.3520896572253,..
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,46.2,53.4,..
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.4,45.6228006060586,..
Kuwait,KWT,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.7,82.0791147627883,..
Lebanon,LBN,Individuals using the Internet (% of population),IT.NET.USER.ZS,73,74,..
Lesotho,LSO,Individuals using the Internet (% of population),IT.NET.USER.ZS,11,16.071707703394,..
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.41,5.903867602799,..
Libya,LBY,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.76,19.016079781565,..
Madagascar,MDG,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.7,4.173972190007,..
Malawi,MWI,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.83,9.2981483471244,..
Mali,MLI,Individuals using the Internet (% of population),IT.NET.USER.ZS,7,10.33692498389,..
Malta,MLT,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.17,76.184,..
Mauritania,MRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.7,15.199126690825,..
Mauritius,MUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,44.8032753683379,50.1393184766711,..
Morocco,MAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.8,57.08,..
Mozambique,MOZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.94,9,..
Namibia,NAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.84,22.3070147912325,..
Niger,NER,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.95,2.220165349673,..
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.68,47.442550294429,..
Oman,OMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.22,74.174165970433,..
Qatar,QAT,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.49,92.8848264535481,..
Rwanda,RWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.6,18,..
Sao Tome and Principe,STP,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.41,25.822248798856,..
Saudi Arabia,SAU,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.713657369019,69.6162358014004,..
Senegal,SEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.7,21.690264133037,..
Seychelles,SYC,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.26,58.118697567706,..
Sierra Leone,SLE,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.1,2.5,..
Somalia,SOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.63,1.76,..
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,49,51.919115722747,..
South Sudan,SSD,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.9,17.9297872340426,..
Sudan,SDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.64,26.614928545846,..
Swaziland,SWZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.1,30.382700656117,..
Syrian Arab Republic,SYR,Individuals using the Internet (% of population),IT.NET.USER.ZS,28.09,29.979797235769,..
Tanzania,TZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.86,5.355144064127,..
Togo,TGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.7,7.12,..
Tunisia,TUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,46.16,48.519835991689,..
Uganda,UGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.71,19.221099634407,..
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.4,91.2434057753709,..
West Bank and Gaza,PSE,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.67,57.42419241388,..
"Yemen, Rep.",YEM,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.55,25.09951439988,..
Zambia,ZMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,19,21,..
Zimbabwe,ZWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.3,16.36,..
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 06/30/2017,,,,,,
